ID,Categoría,#,Idea principal,Qué se debe hacer,Qué se espera,Fundamento
redes-instagram,Redes y canales — CRÍTICO,1,Recuperación o recreación de la cuenta de Instagram @uifce_un,"Agotar primero las vías de recuperación de la cuenta @uifce_un (verificación de identidad ante Meta, apoyo de Imagen Institucional/Unimedios, revisión de correos y dispositivos con sesión activa) e insistir por distintos canales con la persona con la que se ha intentado retomar contacto. Si no se logra recuperar en un plazo máximo de 2-3 semanas, escalar pidiendo la intermediación directa del profesor a cargo del área y, en paralelo, crear una cuenta nueva oficial, tramitar su oficialización ante la Oficina de Medios Digitales de la UNAL (mismo procedimiento ya usado con Instagram y LinkedIn en 2025-2) y migrar de inmediato los contenidos disponibles.","Contar, a más tardar en la semana 4 del semestre, con una cuenta de Instagram activa y oficial (recuperada o nueva) desde la cual retomar el calendario editorial sin perder la continuidad de la estrategia de difusión.","Instagram es, según el diagnóstico 2025-2 → 2026-1, el canal principal de la UIFCE: concentró 25 reels con 83.649 visualizaciones y 2.323 interacciones en el último semestre. Su pérdida es una contingencia reportada por el área que pone en riesgo directo la ejecución de todo el portafolio de comunicación 2026-2. El video de empalme con la líder saliente confirma que persiste incertidumbre real sobre qué ocurrió con la cuenta y sobre la identidad de la persona contactada, por lo que no conviene depender de una sola vía de gestión."
redes-linkedin,Redes y canales — PRIORITARIO,2,Posicionamiento prioritario de LinkedIn UIFCE,"Definir LinkedIn como canal prioritario del semestre: construir un calendario editorial propio (logros de monitores y egresados, proyectos de estudio, contenido profesional/técnico), aumentar la frecuencia de publicación frente a 2026-1 y evaluar la migración de contenido desde la cuenta personal hacia la cuenta empresa de la Unidad, pendiente según la Guía de Empalme.","Superar de manera sostenida las cifras de 2026-1 (7 publicaciones, 1.491 impresiones, 42 reacciones), consolidando a LinkedIn como el canal de posicionamiento profesional e institucional de la UIFCE ante egresados, empresas y otras dependencias académicas.","LinkedIn ya cuenta con oficialización institucional obtenida en 2026-1 y mostró el mayor crecimiento relativo del semestre (de una red subutilizada a un canal con métricas propias). Ante la contingencia de Instagram, se prioriza como canal estable adicional para no concentrar el riesgo de difusión en un solo canal."
redes-tiktok,Redes y canales — NUEVO,3,Creación de la cuenta de TikTok UIFCE,"Solicitar ante Imagen Institucional/Unimedios los lineamientos para cuentas institucionales en nuevas plataformas, crear y oficializar la cuenta de TikTok siguiendo el mismo trámite usado en 2026-1 para Instagram y LinkedIn, y definir un formato de contenido propio (no una simple réplica de los reels de Instagram). Complementar el lanzamiento con difusión ""análoga"" presencial (volantes/folletos entregados directamente a estudiantes en la Facultad, siguiendo la lógica de negocios cercanos que reparten volantes con promociones), en lugar de depender solo de que la audiencia encuentre la cuenta por su cuenta en redes.","Contar con una cuenta de TikTok oficial y activa hacia la mitad del semestre, con un primer lote de publicaciones que permita evaluar su aporte real de alcance antes de comprometer más capacidad de producción del área.","Los hacks informáticos y los reels demostraron en 2026-1 que el formato de video corto es el de mayor alcance de la UIFCE (23.029 visualizaciones en hacks, 83.649 en reels). TikTok es la plataforma nativa de ese formato y amplía el alcance hacia la población estudiantil que la usa como canal principal de consumo de contenido."
redes-youtube,Redes y canales,4,Consolidación y cierre de oficialización de YouTube UIFCE,"Cerrar el trámite de oficialización de YouTube ante la Oficina de Medios Digitales UNAL, en curso desde 2025-2, resolviendo los inconvenientes de titularidad de cuenta ya identificados. Definir un calendario editorial propio (tutoriales, hacks en formato largo, videos institucionales) y coordinar con Virtualización la incrustación de videos de cursos.","Trámite de oficialización cerrado y canal activo con publicaciones propias del área durante el semestre, además de servir como repositorio de los videos de cursos virtualizados que produce Virtualización.","El informe de gestión 2025-2 dejó este trámite en curso; sin cerrarlo, el canal no cuenta con respaldo institucional formal pese a ya tener suscriptores y contenido de Virtualización dependiendo de él."
normativa-terminos-condiciones,Normativa,5,Cierre de Términos y Condiciones de Estrategias Tecnológicas,"Redactar el documento formal de Términos y Condiciones de ET (microtalleres, microeventos, Hackatón y otros eventos), definiendo con claridad las penalizaciones por inasistencia y dando continuidad al Manual de Microtalleres y Microeventos ya vigente. Presentarlo a Coordinación para aval.","Documento aprobado y difundido a la comunidad UIFCE antes del cierre del primer tercio del semestre, de forma que rija desde los primeros microtalleres de 2026-2.","La planeación 2026-1 dejó este ítem en estado pendiente, y el informe de gestión 2025-2 identificó explícitamente la falta de claridad en penalizaciones por inasistencia como una dificultad operativa del área."
produccion-piezas-audiovisual,Producción de contenido,6,Piezas gráficas y material audiovisual,"Mantener la producción semanal de piezas y contenido audiovisual bajo un calendario editorial único (referencia histórica: un reel por semana y una pieza cada 15 días), priorizando calidad sobre volumen, y verificar la vigencia de la licencia de Adobe ya instalada en el equipo de la unidad usado por el monitor de artes (evitar depender de licencias personales). Retomar y terminar el material institucional pendiente identificado en el empalme: video de bienvenida tipo ""trailer"" para nuevos integrantes, ampliación del video de testimonios de ex-monitores (solo 3 grabados y sin editar), edición de los dos videos de apoyo académico ya grabados, y uso de los bloopers guardados para un evento de cierre de semestre.","Un flujo constante de piezas aprobadas por el grupo de ""Piezas Redes Sociales"" (visto bueno de los coordinadores), sin los cuellos de botella de licencias reportados en 2025-2, y al menos dos de las piezas institucionales pendientes (trailer, ex-monitores, apoyo académico) terminadas durante el semestre.","El diagnóstico identificó como lección aprendida que la cantidad de piezas no garantiza impacto, y como brecha la ausencia de licencias institucionales de software de diseño y edición. El video de empalme detalla piezas institucionales de alto potencial (especialmente el video de ex-monitores, señalado como palanca de atracción de nuevos monitores) que quedaron sin terminar en 2025-2."
produccion-hacks-informaticos,Producción de contenido,7,Repositorio de Hacks Informáticos,"Continuar la producción y publicación de hacks informáticos aplicando la rúbrica de calificación ya creada en 2026-1 (duración estándar, vigencia, calidad audiovisual). Depurar contenidos obsoletos y mantener actualizado el repositorio interno.","Mantener o superar el alcance logrado en 2026-1 (23.029 visualizaciones y 526 ""me gusta"" en 11 hacks), con un repositorio depurado y vigente.","Los hacks informáticos son, junto con los reels, el formato de mayor tracción medido en el diagnóstico 2025-2 → 2026-1."
eventos-microtalleres,Eventos,8,Microtalleres UIFCE,"Ejecutar un máximo de 5 microtalleres en el semestre (idealmente 3), priorizando calidad y asistencia efectiva sobre cantidad, y evitando programarlos en las últimas semanas del calendario académico. Implementar certificados de participación desde el primer microtaller (misma plantilla usada para Cursos Libres), confirmar con Juan Martínez (ex-monitor de geología) si dicta el microtaller ya diseñado de ""Análisis espacial aplicado a las ciencias económicas"" (5 sesiones), y confirmar con Jonny el horario del microtaller de Introducción a la Lógica de Programación.","Mayor asistencia efectiva por microtaller, con un tope de 5 microtalleres en el semestre frente a los 10 de 2025-2, certificados de participación entregados desde el primer microtaller dictado, y al menos un piloto en modalidad virtual/híbrida.","Lección aprendida directa del diagnóstico: alta inscripción con baja asistencia efectiva, y menor participación en los talleres realizados al cierre del calendario académico tras el paro. El video de empalme confirma este patrón (hasta 2% de asistencia en los últimos microtalleres de 2025-2) y añade la certificación de participación como demanda recurrente de los asistentes no resuelta hasta ahora."
continuidad-blog,Proyectos en continuidad,9,Blog UIFCE,"Aprobar y ejecutar la propuesta de difusión del blog, pendiente desde 2026-1, coordinando un cronograma conjunto con Gestión del Conocimiento (GC): GC cura y redacta los resúmenes de proyectos de estudio, ET diseña la plataforma y acompaña el despliegue.","Blog con contenido y difusión activos durante el semestre, con la delimitación de funciones frente a GC funcionando en la práctica.",La estrategia de difusión del blog quedó pendiente desde 2026-1; la delimitación de responsabilidades frente a GC ya se fijó en el Manual de Funciones y Estandarización.
continuidad-micrositio,Proyectos en continuidad,10,Micrositio UIFCE,"Actualizar fotos, biografías y estructura de contenido del equipo vigente (coordinando con Comunicaciones una sesión de fotos institucionales, individuales y grupales por área), gestionando los consentimientos de imagen mediante el script ya existente en el Drive de ET (genera automáticamente un documento de consentimiento por persona a partir de la lista de monitores). Evaluar con Desarrollo (Johnny) la viabilidad técnica de que la foto de cada integrante del equipo enlace a su perfil de LinkedIn al hacer clic, como mecanismo adicional de posicionamiento del canal.","Micrositio con información del equipo vigente para el semestre, desplegado sin retrasos técnicos por falta de coordinación con DS, y una respuesta clara de Desarrollo sobre la viabilidad del enlace a LinkedIn en las fotos del equipo.","La Guía de Empalme señala este proceso como compartido: ET aporta el contenido y DS ejecuta el desarrollo y despliegue técnico. El video de empalme documenta que esta idea de vincular fotos a LinkedIn ya tuvo una prueba informal con buena recepción de Desarrollo, y que el proceso de consentimientos ya cuenta con un script funcional que solo requiere mantenerse actualizado."
